Distrito_ID,Nombre,Canton_ID
10101,Carmen,101
10102,Merced,101
10103,Hospital,101
10104,Catedral,101
10105,Zapote,101
10106,San Francisco de Dos Rios,101
10107,Uruca,101
10108,Mata Redonda,101
10109,Pavas,101
10110,Hatillo,101
10111,San Sebastian,101
10201,Escazu,102
10202,San Antonio,102
10203,San Rafael,102
10301,Desamparados,103
10302,San Miguel,103
10303,San Juan de Dios,103
10304,San Rafael Arriba,103
10305,San Antonio,103
10306,Frailes,103
10307,Patarra,103
10308,San Cristobal,103
10309,Rosario,103
10310,Damas,103
10311,San Rafael Abajo,103
10312,Gravilias,103
10313,Los Guido,103
10401,Santiago,104
10402,Mercedes Sur,104
10403,Barbacoas,104
10404,Grifo Alto,104
10405,San Rafael,104
10406,Candelarita,104
10407,Desamparaditos,104
10408,San Antonio,104
10409,Chires,104
10501,San Marcos,105
10502,San Lorenzo,105
10503,San Carlos,105
10601,Aserri,106
10602,Tarbaca,106
10603,Vuelta de Jorco,106
10604,San Gabriel,106
10605,Legua,106
10606,Monterrey,106
10607,Salitrillos,106
10701,Colon,107
10702,Guayabo,107
10703,Tabarcia,107
10704,Piedras Negras,107
10705,Picagres,107
10706,Jaris,107
10707,Quitirris­,107
10801,Guadalupe,108
10802,San Francisco,108
10803,Calle Blancos,108
10804,Mata de Platano,108
10805,Ipis,108
10806,Rancho Redondo,108
10807,Purral,108
10901,Santa Ana,109
10902,Salitral,109
10903,Pozos,109
10904,Uruca,109
10905,Piedades,109
10906,Brasil,109
11001,Alajuelita,110
11002,San Josecito,110
11003,San Antonio,110
11004,Concepcion,110
11005,San Felipe,110
11101,San Isidro,111
11102,San Rafael,111
11103,Dulce Nombre de Jesus,111
11104,Patalillo,111
11105,Cascajal,111
11201,San Ignacio,112
11202,Guaitil,112
11203,Palmichal,112
11204,Cangrejal,112
11205,Sabanillas,112
11301,San Juan,113
11302,Cinco Esquinas,113
11303,Anselmo Llorente,113
11304,Leon XIII,113
11305,Colima,113
11401,San Vicente,114
11402,San Jeronimo,114
11403,La Trinidad,114
11501,San Pedro,115
11502,Sabanilla,115
11503,Mercedes,115
11504,San Rafael,115
11601,San Pablo,116
11602,San Pedro,116
11603,San Juan de Mata,116
11604,San Luis,116
11605,Carara,116
11701,Santa Maria,117
11702,Jardin,117
11703,Copey,117
11801,Curridabat,118
11802,Granadilla,118
11803,Sanchez,118
11804,Tirrases,118
11901,San Isidro de El General,119
11902,El General,119
11903,Daniel Flores,119
11904,Rivas,119
11905,San Pedro,119
11906,Platanares,119
11907,Pejibaye,119
11908,Cajon,119
11909,Baru,119
11910,Rio Nuevo,119
11911,Paramo,119
11912,La  Amistad,119
12001,San Pablo,120
12002,San Andres,120
12003,Llano Bonito,120
12004,San Isidro,120
12005,Santa Cruz,120
12006,San Antonio,120
20101,Alajuela,201
20102,San Jose,201
20103,Carrizal,201
20104,San Antonio,201
20105,Guacima,201
20106,San Isidro,201
20107,Sabanilla,201
20108,San Rafael,201
20109,Rio Segundo,201
20110,Desamparados,201
20111,Turrucares,201
20112,Tambor,201
20113,Garita,201
20114,Sarapiqui,201
20201,San Ramon,202
20202,Santiago,202
20203,San Juan,202
20204,Piedades Norte,202
20205,Piedades Sur,202
20206,San Rafael,202
20207,San Isidro,202
20208,Angeles,202
20209,Alfaro,202
20210,Volio,202
20211,Concepcion,202
20212,Zapotal,202
20213,Penas Blancas,202
20214,San Lorenzo,202
20301,Grecia,203
20302,San Isidro,203
20303,San Jose,203
20304,San Roque,203
20305,Tacares,203
20307,Puente de Piedra,203
20308,Bolivar,203
20401,San Mateo,204
20402,Desmonte,204
20403,Jesus Maria,204
20404,Labrador,204
20501,Atenas,205
20502,Jesus,205
20503,Mercedes,205
20504,San Isidro,205
20505,Concepcion,205
20506,San Jose,205
20507,Santa Eulalia,205
20508,Escobal,205
20601,Naranjo,206
20602,San Miguel,206
20603,San Jose,206
20604,Cirri Sur,206
20605,San Jeronimo,206
20606,San Juan,206
20607,El Rosario,206
20608,Palmitos,206
20701,Palmares,207
20702,Zaragoza,207
20703,Buenos Aires,207
20704,Santiago,207
20705,Candelaria,207
20706,Esquipulas,207
20707,La Granja,207
20801,San Pedro,208
20802,San Juan,208
20803,San Rafael,208
20804,Carrillos,208
20805,Sabana Redonda,208
20901,Orotina,209
20902,El Mastate,209
20903,Hacienda Vieja,209
20904,Coyolar,209
20905,La Ceiba,209
21001,Quesada,210
21002,Florencia,210
21003,Buenavista,210
21004,Aguas Zarcas,210
21005,Venecia,210
21006,Pital,210
21007,La Fortuna,210
21008,La Tigra,210
21009,La Palmera,210
21010,Venado,210
21011,Cutris,210
21012,Monterrey,210
21013,Pocosol,210
21101,Zarcero,211
21102,Laguna,211
21103,Tapesco,211
21104,Guadalupe,211
21105,Palmira,211
21106,Zapote,211
21107,Brisas,211
21201,Sarchi Norte,212
21202,Sarchi Sur,212
21203,Toro Amarillo,212
21204,San Pedro,212
21205,Rodriguez,212
21301,Upala,213
21302,Aguas Claras,213
21303,San Jose O Pizote,213
21304,Bijagua,213
21305,Delicias,213
21306,Dos Rios,213
21307,Yolillal,213
21308,Canalete,213
21401,Los Chiles,214
21402,Cano Negro,214
21403,El Amparo,214
21404,San Jorge,214
21501,San Rafael,215
21502,Buenavista,215
21503,Cote,215
21504,Katira,215
21601,Rio Cuarto,216
21602,Santa Rita,216
21603,Santa Isabel,216
30101,Oriental,301
30102,Occidental,301
30103,Carmen,301
30104,San Nicolas,301
30105,Aguacaliente o San Francisco,301
30106,Guadalupe o Arenilla,301
30107,Corralillo,301
30108,Tierra Blanca,301
30109,Dulce Nombre,301
30110,Llano Grande,301
30111,Quebradilla,301
30201,Paraiso,302
30202,Santiago,302
30203,Orosi,302
30204,Cachi,302
30205,Llanos de Santa Lucia,302
30206,Birrisito,302
30301,Tres Rios,303
30302,San Diego,303
30303,San Juan,303
30304,San Rafael,303
30305,Concepcion,303
30306,Dulce Nombre,303
30307,San Ramon,303
30308,Rio Azul,303
30401,Juan Vinas,304
30402,Tucurrique,304
30403,Pejibaye,304
30501,Turrialba,305
30502,La Suiza,305
30503,Peralta,305
30504,Santa Cruz,305
30505,Santa Teresita,305
30506,Pavones,305
30507,Tuis,305
30508,Tayutic,305
30509,Santa Rosa,305
30510,Tres Equis,305
30511,La Isabel,305
30512,Chirripo,305
30601,Pacayas,306
30602,Cervantes,306
30603,Capellades,306
30701,San Rafael,307
30702,Cot,307
30703,Potrero Cerrado,307
30704,Cipreses,307
30705,Santa Rosa,307
30801,El Tejar,308
30802,San Isidro,308
30803,Tobosi,308
30804,Patio de Agua,308
40101,Heredia,401
40102,Mercedes,401
40103,San Francisco,401
40104,Ulloa,401
40105,Varablanca,401
40201,Barva,402
40202,San Pedro,402
40203,San Pablo,402
40204,San Roque,402
40205,Santa Lucia,402
40206,San Jose de la Montana,402
40301,Santo Domingo,403
40302,San Vicente,403
40303,San Miguel,403
40304,Paracito,403
40305,Santo Tomas,403
40306,Santa Rosa,403
40307,Tures,403
40308,Parÿ,403
40401,Santa Barbara,404
40402,San Pedro,404
40403,San Juan,404
40404,Jesus,404
40405,Santo Domingo,404
40406,Purabÿ,404
40501,San Rafael,405
40502,San Josecito,405
40503,Santiago,405
40504,Angeles,405
40505,Concepcion,405
40601,San Isidro,406
40602,San Jose,406
40603,Concepcion,406
40604,San Francisco,406
40701,San Antonio,407
40702,La Ribera,407
40703,La Asuncion,407
40801,San Joaquin,408
40802,Barrantes,408
40803,Llorente,408
40901,San Pablo,409
40902,Rincon de Sabanilla,409
41001,Puerto Viejo,410
41002,La Virgen,410
41003,Las Horquetas,410
41004,Llanuras del Gaspar,410
41005,Curena,410
50101,Liberia,501
50102,Canas Dulces,501
50103,Mayorga,501
50104,Nacascolo,501
50105,Curubande,501
50201,Nicoya,502
50202,Mansion,502
50203,San Antonio,502
50204,Quebrada Honda,502
50205,Samara,502
50206,Nosara,502
50207,Belen de Nosarita,502
50301,Santa Cruz,503
50302,Bolson,503
50303,Veintisiete de Abril,503
50304,Tempate,503
50305,Cartagena,503
50306,Cuajiniquil,503
50307,Diriÿ,503
50308,Cabo Velas,503
50309,Tamarindo,503
50401,Bagaces,504
50402,La Fortuna,504
50403,Mogote,504
50404,Rio Naranjo,504
50501,Filadelfia,505
50502,Palmira,505
50503,Sardinal,505
50504,Belen,505
50601,Canas,506
50602,Palmira,506
50603,San Miguel,506
50604,Bebedero,506
50605,Porozal,506
50701,Las Juntas,507
50702,Sierra,507
50703,San Juan,507
50704,Colorado,507
50801,Tilaran,508
50802,Quebrada Grande,508
50803,Tronadora,508
50804,Santa Rosa,508
50805,Libano,508
50806,Tierras Morenas,508
50807,Arenal,508
50808,Cabeceras,508
50901,Carmona,509
50902,Santa Rita,509
50903,Zapotal,509
50904,San Pablo,509
50905,Porvenir,509
50906,Bejuco,509
51001,La Cruz,510
51002,Santa Cecilia,510
51003,La Garita,510
51004,Santa Elena,510
51101,Hojancha,511
51102,Monte Romo,511
51103,Puerto Carrillo,511
51104,Huacas,511
51105,Matambu,511
60101,Puntarenas,601
60102,Pitahaya,601
60103,Chomes,601
60104,Lepanto,601
60105,Paquera,601
60106,Manzanillo,601
60107,Guacimal,601
60108,Barranca,601
60110,Isla del Coco,601
60111,Cobano,601
60112,Chacarita,601
60113,Chira,601
60114,Acapulco,601
60115,El Roble,601
60116,Arancibia,601
60201,Espiritu Santo,602
60202,San Juan Grande,602
60203,Macacona,602
60204,San Rafael,602
60205,San Jeronimo,602
60206,Caldera,602
60301,Buenos Aires,603
60302,Volcan,603
60303,Potrero Grande,603
60304,Boruca,603
60305,Pilas,603
60306,Colinas,603
60307,Changuena,603
60308,Biolley,603
60309,Brunka,603
60401,Miramar,604
60402,La Union,604
60403,San Isidro,604
60501,Puerto Cortes,605
60502,Palmar,605
60503,Sierpe,605
60504,Bahia Ballena,605
60505,Piedras Blancas,605
60506,Bahia Drake,605
60601,Quepos,606
60602,Savegre,606
60603,Naranjito,606
60701,Golfito,607
60702,Puerto Jiminez,607
60703,Guaycarÿ,607
60704,Pavon,607
60801,San Vito,608
60802,Sabalito,608
60803,Aguabuena,608
60804,Limoncito,608
60805,Pittier,608
60806,Gutierrez Braun,608
60901,Parrita,609
61001,Corredor,610
61002,La Cuesta,610
61003,Canoas,610
61004,Laurel,610
61101,Jaco,611
61102,Tarcoles,611
61103,Lagunillas,611
61201,Monteverde,612
70101,Limon,701
70102,Valle La Estrella,701
70103,Rio Blanco,701
70104,Matama,701
70201,Guapiles,702
70202,Jiminez,702
70203,Rita,702
70204,Roxana,702
70205,Cariari,702
70206,Colorado,702
70207,La Colonia,702
70301,Siquirres,703
70302,Pacuarito,703
70303,Florida,703
70304,Germania,703
70305,El Cairo,703
70306,Alegria,703
70307,Reventazon,703
70401,Bratsi,704
70402,Sixaola,704
70403,Cahuita,704
70404,Telire,704
70501,Matina,705
70502,Batan,705
70503,Carrandi,705
70601,Guacimo,706
70602,Mercedes,706
70603,Pocora,706
70604,Rio Jimenez,706
70605,Duacar­,706
